Ingredient,Store,Price Per Recipe,Total Price From Ingredients,
Butter,McLanahans,0.19,$5.75 ,
Buttermilk,McLanahans,N/A,NA,
Caesar Salad Dressing,McLanahans,0.34,$5.49 ,
Cherry Tomatoes,McLanahans,2.89,$2.89 ,
Chia Seeds,McLanahans,0.18,$4.50 ,
Chicken Breast,McLanahans,1.77,$12.39 ,
Croutons,McLanahans,N/A,$1.99 ,
Crushed Tomatoes,McLanahans,1.95,$1.95 ,
Cucumber,McLanahans,0.42,$0.85 ,
Diced Tomatoes,McLanahans,1.95,$1.95 ,
Dijon Mustard,McLanahans,0.06,$2.59 ,
Eggs,McLanahans,0.61,$3.65 ,
Feta Block,McLanahans,N/A,NA,
Fritos,McLanahans,1.99,$3.99 ,
Greek Yogurt,McLanahans,0.56,$8.99 ,
Ground Beef,McLanahans,10.59,$10.59 ,
Honey,McLanahans,0.1,$3.69 ,
Italian Bread Crumbs,McLanahans,N/A,NA,
Kidney Beans,McLanahans,1.55,$1.55 ,
Large Tortilla,McLanahans,3.49,$3.49 ,
Mayonaisse,McLanahans,0.1,$4.49 ,
Minced Garlic,McLanahans,0.49,$2.89 ,
Old Fashioned Oats,McLanahans,N/A,NA,
Olive Oil,McLanahans,0.52,$8.85 ,
Oregano,McLanahans,0.11,$1.69 ,
Paprika,McLanahans,0.05,$1.69 ,
Pasta,McLanahans,1.28,$2.55 ,
Red Onion,McLanahans,0.49,$1.99 ,
Red Pepper Flakes,McLanahans,0.23,$4.99 ,
Regular Tortilla,McLanahans,1.75,$3.49 ,
Romaine Lettuce,McLanahans,1.34,$2.69 ,
Salt,McLanahans,0.15,$5.59 ,
Salt/Pepper,McLanahans,0.1,$5.89 ,
Shredded Cheddar Cheese,McLanahans,0.67,$5.39 ,
Shredded Mexican Style Cheese,McLanahans,2.68,$5.49 ,
Shredded Parmesan Cheese,McLanahans,0.25,$5.49 ,
Sliced Provalone,McLanahans,0.37,$5.99 ,
Sour Cream,McLanahans,1.33,$2.65 ,
Sourdough Bread,McLanahans,0.41,$3.28 ,
Sprouts,McLanahans,N/A,NA,
Sweet Corn,McLanahans,1.79,$1.79 ,
Taco Seasoning,McLanahans,1.39,$1.39 ,
Tomato,McLanahans,0.26,$2.49 ,
Vegetable Oil,McLanahans,0.37,$5.99 ,
White Onion,McLanahans,0.99,$0.99 ,
White Rice,McLanahans,1.15,$4.59 ,
White Sugar,McLanahans,0.17,$2.79 ,
Whole Wheat Flour,McLanahans,1.95,$18.39 ,
Yellow Onion,McLanahans,0.99,$0.99 ,
2% Milk,Sam's Club,0.18,$3.94 ,
Avocado,Sam's Club,1.49,$3.72 ,
Baby Spinach,Sam's Club,2.38,$4.76 ,
Baking Powder,Sam's Club,0.06,$7.78 ,
Baking Soda,Sam's Club,0.03,$8.88 ,
Beef Broth,Sam's Club,1,$5.98 ,
Bell Peppers,Sam's Club,3.34,$6.67 ,
Black Beans,Sam's Club,1,$5.98 ,
Blueberries,Sam's Club,0.29,$6.97 ,
Butter,Sam's Club,0.07,$8.44 ,
Buttermilk,Sam's Club,N/A,N/A,
Caesar Salad Dressing,Sam's Club,N/A,N/A,
Cherry Tomatoes,Sam's Club,2.77,$6.65 ,
Chia Seeds,Sam's Club,N/A,N/A,
Chicken Breast,Sam's Club,4.14,$16.56 ,
Croutons,Sam's Club,0.11,$6.98 ,
Crushed Tomatoes,Sam's Club,0.75,$11.26 ,
Cucumber,Sam's Club,0.68,$4.07 ,
Diced Tomatoes,Sam's Club,1.24,$9.88 ,
Dijon Mustard,Sam's Club,0.03,$5.48 ,
Eggs,Sam's Club,0.37,$4.42 ,
Feta Block,Sam's Club,2.44,$9.76 ,
Fritos,Sam's Club,2.24,$4.48 ,
Greek Yogurt,Sam's Club,0.21,$4.97 ,
Ground Beef,Sam's Club,5.96,$19.07 ,
Honey,Sam's Club,0.06,$7.98 ,
Italian Bread Crumbs,Sam's Club,0.24,$5.94 ,
Kidney Beans,Sam's Club,1,$5.98 ,
Large Tortilla,Sam's Club,1.22,$3.67 ,
Mayonaisse,Sam's Club,0.04,$7.48 ,
Minced Garlic,Sam's Club,0.12,$5.68 ,
Old Fashioned Oats,Sam's Club,0.1,$7.98 ,
Olive Oil,Sam's Club,0.19,$12.98 ,
Oregano,Sam's Club,0.09,$5.98 ,
Paprika,Sam's Club,0.09,$8.44 ,
Pasta,Sam's Club,0.71,$8.52 ,
Red Onion,Sam's Club,0.48,$5.72 ,
Red Pepper Flakes,Sam's Club,0.03,$5.98 ,
Regular Tortilla,Sam's Club,0.61,$3.67 ,
Romaine Lettuce,Sam's Club,0.48,$2.26 ,
Salt,Sam's Club,0.08,$11.16 ,
Salt/Pepper,Sam's Club,0.08,$11.16 ,
Shredded Cheddar Cheese,Sam's Club,2.74,$5.47 ,
Shredded Mexican Style Cheese,Sam's Club,0.77,$6.16 ,
Shredded Parmesan Cheese,Sam's Club,0.9,$10.74 ,
Sliced Provalone,Sam's Club,0.18,$7.63 ,
Sour Cream,Sam's Club,1.42,$4.97 ,
Sourdough Bread,Sam's Club,0.16,$3.28 ,
Sprouts,Sam's Club,0.5,$5.94 ,
Sweet Corn,Sam's Club,1.05,$8.42 ,
Taco Seasoning,Sam's Club,0.7,$6.98 ,
Tomato,Sam's Club,0.32,$4.82 ,
Vegetable Oil,Sam's Club,0.13,$12.88 ,
White Onion,Sam's Club,0.49,$4.87 ,
White Rice,Sam's Club,0.18,$11.48 ,
White Sugar,Sam's Club,0.03,$6.58 ,
Whole Wheat Flour,Sam's Club,0.32,$6.72 ,
Yellow Onion,Sam's Club,N/A,N/A,
2% Milk,Target D,0.1,$4.89 ,
Avocado,Target D,1.38,$0.69 ,
Baby Spinach,Target D,2.19,$2.19 ,
Baking Powder,Target D,0.08,$1.99 ,
Baking Soda,Target D,0.01,$1.59 ,
Beef Broth,Target D,0.8,$1.59 ,
Bell Peppers,Target D,2.69,$2.69 ,
Black Beans,Target D,0.99,$0.99 ,
Blueberries,Target D,0.5,$3.99 ,
Butter,Target D,0.12,$3.69 ,
Buttermilk,Target D,0.38,$4.89 ,
Caesar Salad Dressing,Target D,0.21,$3.39 ,
Cherry Tomatoes,Target D,2.59,$2.59 ,
Chia Seeds,Target D,N/A,NA,
Chicken Breast,Target D,2.5,$4.99 ,
Croutons,Target D,N/A,NA,
Crushed Tomatoes,Target D,1.89,$1.89 ,
Cucumber,Target D,0.42,$1.69 ,
Diced Tomatoes,Target D,0.99,$0.99 ,
Dijon Mustard,Target D,0.03,$1.79 ,
Eggs,Target D,0.33,$1.99 ,
Feta Block,Target D,5.29,$5.29 ,
Fritos,Target D,2.35,$4.69 ,
Greek Yogurt,Target D,0.23,$3.39 ,
Ground Beef,Target D,6.19,$6.19 ,
Honey,Target D,0.19,$4.49 ,
Italian Bread Crumbs,Target D,0.3,$1.29 ,
Kidney Beans,Target D,1.19,$1.19 ,
Large Tortilla,Target D,1.99,$1.99 ,
Mayonaisse,Target D,0.09,$2.99 ,
Minced Garlic,Target D,0.66,$2.99 ,
Old Fashioned Oats,Target D,0.22,$2.89 ,
Olive Oil,Target D,0.39,$6.39 ,
Oregano,Target D,0.05,$1.19 ,
Paprika,Target D,0.02,$1.19 ,
Pasta,Target D,0.5,$0.99 ,
Red Onion,Target D,0.25,$0.99 ,
Red Pepper Flakes,Target D,0.02,$1.19 ,
Regular Tortilla,Target D,1,$1.99 ,
Romaine Lettuce,Target D,1.03,$3.59 ,
Salt,Target D,0.03,$1.99 ,
Salt/Pepper,Target D,0.06,$1.99 ,
Shredded Cheddar Cheese,Target D,0.25,$1.99 ,
Shredded Mexican Style Cheese,Target D,1.14,$1.99 ,
Shredded Parmesan Cheese,Target D,0.33,$1.99 ,
Sliced Provalone,Target D,0.14,$1.69 ,
Sour Cream,Target D,1.29,$1.29 ,
Sourdough Bread,Target D,0.57,$3.99 ,
Sprouts,Target D,N/A,NA,
Sweet Corn,Target D,0.59,$0.59 ,
Taco Seasoning,Target D,0.99,$0.99 ,
Tomato,Target D,0.49,$3.89 ,
Vegetable Oil,Target D,0.17,$3.99 ,
White Onion,Target D,0.99,$0.99 ,
White Rice,Target D,0.38,$1.89 ,
White Sugar,Target D,0.04,$3.19 ,
Whole Wheat Flour,Target D,0.27,$2.49 ,
Yellow Onion,Target D,0.99,$0.99 ,
2% Milk,Target U,0.11,$2.69 ,
Avocado,Target U,1.18,$1.18 ,
Baby Spinach,Target U,2.29,$2.29 ,
Baking Powder,Target U,0.11,$2.69 ,
Baking Soda,Target U,0.01,$1.59 ,
Beef Broth,Target U,0.9,$1.79 ,
Bell Peppers,Target U,2.69,$2.69 ,
Black Beans,Target U,1.59,$1.59 ,
Blueberries,Target U,0.29,$3.49 ,
Butter,Target U,0.11,$3.49 ,
Buttermilk,Target U,0.76,$2.69 ,
Caesar Salad Dressing,Target U,0.23,$3.69 ,
Cherry Tomatoes,Target U,2.49,$2.49 ,
Chia Seeds,Target U,0.33,$7.99 ,
Chicken Breast,Target U,6.39,$12.77 ,
Croutons,Target U,0.23,$2.29 ,
Crushed Tomatoes,Target U,3.79,$3.79 ,
Cucumber,Target U,0.5,$0.99 ,
Diced Tomatoes,Target U,3.79,$3.79 ,
Dijon Mustard,Target U,0.03,$1.99 ,
Eggs,Target U,0.5,$2.99 ,
Feta Block,Target U,5.29,$5.29 ,
Fritos,Target U,2.35,$4.69 ,
Greek Yogurt,Target U,1.5,$5.99 ,
Ground Beef,Target U,7.99,$7.99 ,
Honey,Target U,0.13,$4.79 ,
Italian Bread Crumbs,Target U,0.86,$2.79 ,
Kidney Beans,Target U,1.49,$1.49 ,
Large Tortilla,Target U,4.69,$4.69 ,
Mayonaisse,Target U,0.05,$4.29 ,
Minced Garlic,Target U,0.47,$3.79 ,
Old Fashioned Oats,Target U,0.93,$4.89 ,
Olive Oil,Target U,0.38,$6.39 ,
Oregano,Target U,0.1,$1.19 ,
Paprika,Target U,0.1,$1.19 ,
Pasta,Target U,0.5,$0.99 ,
Red Onion,Target U,0.22,$0.89 ,
Red Pepper Flakes,Target U,0.1,$1.19 ,
Regular Tortilla,Target U,2.35,$4.69 ,
Romaine Lettuce,Target U,1.79,$2.99 ,
Salt,Target U,0.15,$2.19 ,
Salt/Pepper,Target U,0.15,$2.19 ,
Shredded Cheddar Cheese,Target U,1.99,$1.99 ,
Shredded Mexican Style Cheese,Target U,1,$1.99 ,
Shredded Parmesan Cheese,Target U,0.66,$1.99 ,
Sliced Provalone,Target U,0.14,$1.69 ,
Sour Cream,Target U,1,$1.99 ,
Sourdough Bread,Target U,0.42,$4.19 ,
Sprouts,Target U,N/A,N/A,
Sweet Corn,Target U,0.99,$0.99 ,
Taco Seasoning,Target U,0.99,$0.99 ,
Tomato,Target U,0.4,$3.19 ,
Vegetable Oil,Target U,0.23,$2.79 ,
White Onion,Target U,0.89,$0.89 ,
White Rice,Target U,0.47,$1.89 ,
White Sugar,Target U,0.04,$3.19 ,
Whole Wheat Flour,Target U,0.28,$2.49 ,
Yellow Onion,Target U,0.89,$0.89 ,
Baby Spinach,Trader Joe's,2.29,2.29,
Cherry Tomatoes,Trader Joe's,4.99,4.99,
Feta Block,Trader Joe's,3.79,3.79,
Olive Oil,Trader Joe's,0.3,9.99,
Salt/Pepper,Trader Joe's,0.01,1.69,
Minced Garlic,Trader Joe's,0.25,1.99,
Pasta,Trader Joe's,1,1.99,
Old Fashioned Oats,Trader Joe's,0.33,2.99,
Greek Yogurt,Trader Joe's,0.37,2.99,
2% Milk,Trader Joe's,0.24,5.99,
Chia Seeds,Trader Joe's,0.21,4.99,
Blueberries,Trader Joe's,0.07,6.99,
Honey,Trader Joe's,-,3.99,
Large Tortilla,Trader Joe's,1.99,2.99,
Butter,Trader Joe's,-,3.99,
Chicken Breast,Trader Joe's,7.49,7.49,
Black Beans,Trader Joe's,0.99,0.99,
Shredded Cheddar Cheese,Trader Joe's,4.29,4.29,
Ground Beef,Trader Joe's,6.49,6.49,
Yellow Onion,Trader Joe's,1.19,1.19,
Diced Tomatoes,Trader Joe's,-,0.99,
Taco Seasoning,Trader Joe's,1.19,1.19,
Kidney Beans,Trader Joe's,1.19,1.19,
Sweet Corn,Trader Joe's,0.99,0.99,
Fritos,Trader Joe's,N/A,N/A,
Sour Cream,Trader Joe's,1.25,2.49,
Whole Wheat Flour,Trader Joe's,2.2,5.49,
White Sugar,Trader Joe's,14,4.49,
Baking Powder,Trader Joe's,-,1.99,
Baking Soda,Trader Joe's,-,0.99,
Salt,Trader Joe's,0.01,1.69,
Buttermilk,Trader Joe's,N/A,N/A,
Eggs,Trader Joe's,1,5.99,
Vegetable Oil,Trader Joe's,N/A,N/A,
Romaine Lettuce,Trader Joe's,2.99,2.99,
Chicken Breast,Trader Joe's,3.75,7.49,
Shredded Parmesan Cheese,Trader Joe's,0.99,3.99,
Croutons,Trader Joe's,1.5,3.99,2.29+E389
Caesar Salad Dressing,Trader Joe's,0.36,3.99,
Bell Peppers,Trader Joe's,4.99,4.99,
White Onion,Trader Joe's,1.19,1.19,
Crushed Tomatoes,Trader Joe's,-,N/A,
Beef Broth,Trader Joe's,-,2.99,
White Rice,Trader Joe's,0.67,3.99,
Paprika,Trader Joe's,-,2.49,
Oregano,Trader Joe's,-,1.99,
Red Pepper Flakes,Trader Joe's,-,1.99,
Italian Bread Crumbs,Trader Joe's,2.39,2.99,
Avocado,Trader Joe's,1.99,3.99,
Shredded Mexican Style Cheese,Trader Joe's,2.86,4.29,
Regular Tortilla,Trader Joe's,0.99,2.99,
Sourdough Bread,Trader Joe's,0.58,3.49,
Sliced Provalone,Trader Joe's,-,4.99,
Mayonaisse,Trader Joe's,0.05,3.79,
Dijon Mustard,Trader Joe's,0.01,2.29,
Tomato,Trader Joe's,-,1.99,
Cucumber,Trader Joe's,-,0.85,
Red Onion,Trader Joe's,-,0.95,
Sprouts,Trader Joe's,N/A,N/A,
Baby Spinach,Walmart,2.18,2.18,
Cherry Tomatoes,Walmart,2.63,2.63,
Feta Block,Walmart,5.46,5.46,
Olive Oil,Walmart,0.35,5.94,
Salt/Pepper,Walmart,0.01,1.94,
Minced Garlic,Walmart,0.51,1.87,
Pasta,Walmart,0.49,0.98,
Old Fashioned Oats,Walmart,0.1,$2.66 ,
Greek Yogurt,Walmart,0.41,$0.82 ,
2% Milk,Walmart,0.2,$1.18 ,
Chia Seeds,Walmart,0.18,$7.94 ,
Blueberries,Walmart,0.27,$2.12 ,
Honey,Walmart,0.16,$3.74 ,
Large Tortilla,Walmart,2.12,$2.12 ,
Butter,Walmart,0.16,$2.57 ,
Chicken Breast,Walmart,5.88,$8.82 ,
Black Beans,Walmart,0.86,0.86,
Shredded Cheddar Cheese,Walmart,1.97,$1.97 ,
Ground Beef,Walmart,6.26,$6.26 ,
Yellow Onion,Walmart,0.78,$0.78 ,
Diced Tomatoes,Walmart,0.96,$0.96 ,
Taco Seasoning,Walmart,0.97,0.97,
Kidney Beans,Walmart,0.86,0.86,
Sweet Corn,Walmart,0.76,0.76,
Fritos,Walmart,1.99,3.97,
Sour Cream,Walmart,1.24,1.24,
Whole Wheat Flour,Walmart,0.59,5.58,
White Sugar,Walmart,0.09,1.72,
Baking Powder,Walmart,0.08,1.98,
Baking Soda,Walmart,0.01,0.92,
Salt,Walmart,0.01,1.94,
Buttermilk,Walmart,1.2,2.14,
Eggs,Walmart,0.38,1.13,
Vegetable Oil,Walmart,0.37,2.97,
Romaine Lettuce,Walmart,1.91,3.34,
Chicken Breast,Walmart,2.21,8.82,
Shredded Parmesan Cheese,Walmart,0.35,2.08,
Croutons,Walmart,0.07,1.42,
Caesar Salad Dressing,Walmart,0.12,1.97,
Bell Peppers,Walmart,2.48,2.48,
White Onion,Walmart,1.27,1.27,
Crushed Tomatoes,Walmart,1.48,1.48,
Beef Broth,Walmart,0.75,1.5,
White Rice,Walmart,0.37,0.92,
Paprika,Walmart,0.06,1.08,
Oregano,Walmart,0.22,1.08,
Red Pepper Flakes,Walmart,0.06,1.44,
Italian Bread Crumbs,Walmart,0.33,1.22,
Avocado,Walmart,1.1,0.55,
Shredded Mexican Style Cheese,Walmart,0.99,1.97,
Regular Tortilla,Walmart,1.06,2.12,
Sourdough Bread,Walmart,0.36,2.14,
Sliced Provalone,Walmart,0.12,1.88,
Mayonaisse,Walmart,0.04,2.12,
Dijon Mustard,Walmart,0.02,1.62,
Tomato,Walmart,0.08,0.23,
Cucumber,Walmart,0.34,0.68,
Red Onion,Walmart,0.25,0.99,
Sprouts,Walmart,N/A,N/A,
Baby Spinach,Wegmans,3.29,3.29,
Cherry Tomatoes,Wegmans,6.49,6.49,
Feta Block,Wegmans,4.99,4.99,
Olive Oil,Wegmans,0.29,7.99,
Salt/Pepper,Wegmans,0.01,2.69,
Minced Garlic,Wegmans,0.44,3.49,
Pasta,Wegmans,0.5,4.99,
Old Fashioned Oats,Wegmans,0.07,3.49,
Greek Yogurt,Wegmans,0.09,3.99,
2% Milk,Wegmans,0.1,2.5,
Chia Seeds,Wegmans,0.1,10.49,
Blueberries,Wegmans,0.5,6.99,
Honey,Wegmans,10,4.79,
Large Tortilla,Wegmans,2.49,2.49,
Butter,Wegmans,0.16,2.99,
Chicken Breast,Wegmans,6.43,9.65,
Black Beans,Wegmans,-,1.99,
Shredded Cheddar Cheese,Wegmans,-,3.49,
Ground Beef,Wegmans,-,7.49,
Yellow Onion,Wegmans,-,1.99,
Diced Tomatoes,Wegmans,-,0.99,
Taco Seasoning,Wegmans,-,0.99,
Kidney Beans,Wegmans,-,0.99,
Sweet Corn,Wegmans,-,0.89,
Fritos,Wegmans,5.99,5.99,
Sour Cream,Wegmans,-,4.49,
Whole Wheat Flour,Wegmans,-,1.79,
White Sugar,Wegmans,-,3.49,
Baking Powder,Wegmans,-,1.99,
Baking Soda,Wegmans,-,1.19,
Salt,Wegmans,-,0.99,
Buttermilk,Wegmans,-,2.49,
Eggs,Wegmans,-,1.69,
Vegetable Oil,Wegmans,-,3.49,
Romaine Lettuce,Wegmans,-,3.99,
Chicken Breast,Wegmans,-,9.65,
Shredded Parmesan Cheese,Wegmans,-,12,
Croutons,Wegmans,-,1.99,
Caesar Salad Dressing,Wegmans,-,1.99,
Bell Peppers,Wegmans,-,6.49,
White Onion,Wegmans,-,1.87,
Crushed Tomatoes,Wegmans,-,1.69,
Beef Broth,Wegmans,-,2.69,
White Rice,Wegmans,-,0.99,
Paprika,Wegmans,-,1.49,
Oregano,Wegmans,-,1.49,
Red Pepper Flakes,Wegmans,-,1.49,
Italian Bread Crumbs,Wegmans,-,3.99,
Avocado,Wegmans,-,0.99,
Shredded Mexican Style Cheese,Wegmans,-,1.99,
Regular Tortilla,Wegmans,-,2.49,
Sourdough Bread,Wegmans,-,5.99,
Sliced Provalone,Wegmans,-,1.99,
Mayonaisse,Wegmans,-,2.49,
Dijon Mustard,Wegmans,-,2.49,
Tomato,Wegmans,-,1.75,
Cucumber,Wegmans,-,0.79,
Red Onion,Wegmans,-,0.9,
Sprouts,Wegmans,-,3.79,
2% Milk,Weis,0.15,$1.79 ,
Avocado,Weis,1.99,$1.99 ,
Baby Spinach,Weis,1.52,$3.79 ,
Baking Powder,Weis,0.16,$2.19 ,
Baking Soda,Weis,0.01,$0.89 ,
Beef Broth,Weis,1.25,$2.50 ,
Bell Peppers,Weis,N/A,$2.99 ,
Black Beans,Weis,0.79,$0.79 ,
Blueberries,Weis,0.39,$4.99 ,
Butter,Weis,0.12,$1.99 ,
Buttermilk,Weis,1.06,$1.89 ,
Caesar Salad Dressing,Weis,0.13,$2.00 ,
Cherry Tomatoes,Weis,2.49,$4.99 ,
Chia Seeds,Weis,0.14,$6.29 ,
Chicken Breast,Weis,3.99,$7.99 ,
Croutons,Weis,0.15,$1.59 ,
Crushed Tomatoes,Weis,0.84,$1.67 ,
Cucumber,Weis,0.45,$0.89 ,
Diced Tomatoes,Weis,0.99,$0.99 ,
Dijon Mustard,Weis,0.03,$1.67 ,
Eggs,Weis,0.33,$2.00 ,
Feta Block,Weis,4.99,$4.99 ,
Fritos,Weis,2.49,$4.99 ,
Greek Yogurt,Weis,0.37,$5.99 ,
Ground Beef,Weis,7.29,$7.29 ,
Honey,Weis,0.21,$5.99 ,
Italian Bread Crumbs,Weis,0.53,$1.59 ,
Kidney Beans,Weis,0.79,$0.79 ,
Large Tortilla,Weis,2.69,$2.69 ,
Mayonaisse,Weis,0.03,$2.99 ,
Minced Garlic,Weis,0.32,$2.99 ,
Old Fashioned Oats,Weis,0.12,$2.59 ,
Olive Oil,Weis,0.69,$10.99 ,
Oregano,Weis,0.07,$1.99 ,
Paprika,Weis,0.05,$1.39 ,
Pasta,Weis,0.83,$1.25 ,
Red Onion,Weis,0.2,$1.99 ,
Red Pepper Flakes,Weis,0.07,$1.79 ,
Regular Tortilla,Weis,1.35,$2.69 ,
Romaine Lettuce,Weis,0.56,$1.99 ,
Salt,Weis,0.1,$2.99 ,
Salt/Pepper,Weis,0.1,$2.99 ,
Shredded Cheddar Cheese,Weis,0.6,$3.79 ,
Shredded Mexican Style Cheese,Weis,1.2,$2.39 ,
Shredded Parmesan Cheese,Weis,0.45,$2.39 ,
Sliced Provalone,Weis,0.21,$4.99 ,
Sour Cream,Weis,1.69,$1.69 ,
Sourdough Bread,Weis,0.6,$4.79 ,
Sprouts,Weis,0.29,$1.99 ,
Sweet Corn,Weis,0.89,$0.89 ,
Taco Seasoning,Weis,0.59,$0.59 ,
Tomato,Weis,0.3,$2.49 ,
Vegetable Oil,Weis,0.25,$1.99 ,
White Onion,Weis,0.67,$1.99 ,
White Rice,Weis,0.66,$9.39 ,
White Sugar,Weis,0.05,$3.69 ,
Whole Wheat Flour,Weis,0.35,$3.49 ,
Yellow Onion,Weis,0.5,$2.99 ,
